lon                    lat            ve               vn          se               sn                     ren                                                      
99.5750            25.7610            -0.100      -10.600          0.779            0.736                0.0410                                                 YD13_GPS                                                                                    
100.0450            25.5840            5.000      -11.100          1.000            0.910                -0.0360                                     YD15_GPS                                                                              
100.3170            25.7040            3.400      -10.300          0.736            0.707                0.0390                                     YD16_GPS                                                                                    
100.4640            25.7790            2.400      -10.700          0.779            0.736                0.0480                                     YD17_GPS                                                                                    
100.6410            25.6860            3.000      -10.900          0.736            0.707                0.0320                                     YD18_GPS                                                                                    
100.7850            25.7080            4.200      -11.000          0.736            0.707                0.0320                                     YD19_GPS                                                                                    
101.1350            25.8350            4.600      -10.900          0.779            0.736                0.0220                                     YD20_GPS                                                                                    
101.4080            25.7000            4.600      -11.100          0.779            0.779                -0.0130                                     YD21_GPS                                                                              
101.5480            25.6690            5.600      -13.100          0.736            0.736                0.0030                                     YD22_GPS                                                                                    
101.7600            25.7500            5.900      -11.900          0.736            0.707                0.0080                                                       YD23_GPS                                                                                    
98.2430            24.5780            -4.600      -4.300          1.111            0.910                0.0670                                                 YD33_GPS                                                                                          
98.4010            24.4950            -1.300      -5.900          1.100            1.000                0.0120                                                 YD34_GPS                                                                                          
98.7780            24.6370            -2.200      -7.400          0.736            0.707                0.0370                                                 YD35_GPS                                                                                          
98.7550            24.4350            -2.600      -5.700          0.736            0.707                0.0520                                                 YD36_GPS                                                                                          
98.8660            24.3630            -1.100      -6.400          0.837            0.779                0.0720                                                 YD37_GPS                                                                                          
99.2070            24.2600            -1.000      -6.500          1.200            1.000                0.0420                                                 YD38_GPS                                                                                          
99.3420            24.2090            -2.100      -6.300          1.000            0.910                0.0660                                                 YD39_GPS                                                                                          
99.4500            24.1940            -1.500      -7.300          0.736            0.707                0.0430                                                 YD40_GPS                                                                                          
99.7440            24.1090            -1.100      -7.500          0.736            0.736                0.0640                                                 YD41_GPS                                                                                          
99.8460            24.0320            -0.600      -10.200          0.736            0.736                0.0390                                     YD42_GPS                                                                                    
99.8030            28.9370            14.500      -12.000          0.697            0.697          0                                                                         SCXC_GPS                                                                                    
101.4930            25.0490            5.000      -11.000          0.697            0.697          0                                                                         YNCX_GPS                                                                                    
100.8810            24.4370            2.700      -9.900          0.736            0.693                0                                                                         YNJD_GPS                                                                                          
100.0290            26.6960            5.600      -13.400          0.697            0.697          0                                                                               YNLJ_GPS                                                                                    
99.1900            24.7130            0.100      -8.800          0.697            0.697                      0                                                                         NSD_GPS                                                                                                
98.4380            24.9550            -1.900      -5.800          0.693            0.693                0                                                                         YNTC_GPS                                                                                          
101.9060            24.1020            4.100      -10.200          0.693            0.697          0                                                                               YNXP_GPS                                                                                    
101.8610            25.6890            7.200      -11.500          0.697            0.697          0                                                                               YNYM_GPS                                                                                    
100.7540            26.6830            9.000      -11.900          0.697            0.697          0                                                                               YNYS_GPS                                                                                    
100.1760            25.7070            3.000      -12.200          0.837            0.779          0                                                                               BFDI_GPS                                                                                    
100.2190            26.8490            7.400      -12.900          0.707            0.693          0                                                                               BFLJ_GPS                                                                                    
98.9070            28.4880            12.700      -9.700          0.693            0.693                0                                                                         DEQN_GPS                                                                                          
100.1360            24.4450            1.600      -8.400          0.693            0.697                0.0110                                                 H148_GPS                                                                                          
99.5350            25.4630            -0.200      -10.300          0.779            0.779                0.0110                                                 H205_GPS                                                                                    
98.6750            24.5770            -2.300      -5.300          0.707            0.693                0.0300                                                 H211_GPS                                                                                          
98.4980            25.0180            -2.800      -6.400          0.697            0.697                0.0040                                                 JB41_GPS                                                                                          
101.7440            26.5030            8.700      -12.600          0.725            0.725                      0                                                                               SCPZ_GPS                                                                                          
101.5130            27.4320            10.600      -12.200          0.725            0.725                0                                                                               SCYY_GPS                                                                                    
100.2550            25.6080            3.300      -10.900          0.725            0.725                      0                                                                               XIAG_GPS                                                                                    
101.3270            25.7240            5.900      -10.900          0.697            0.697                      0                                                                               YNYA_GPS                                                                                    
99.3720            25.8850            0.700      -11.700          0.697            0.693                  0                                                                         YNYL_GPS                                                                                          
99.6980            27.8230            7.100      -15.100          0.697            0.697                  0                                                                               YNZD_GPS                                                                                                
101.6830            26.0500            10.280      -15.190          2.400            2.300                0.3260                                                 H122_GPS                                                                              
99.4100            26.4400            -0.990      -15.220          2.600            1.500                0.0030                                                 H199_GPS                                                                                                                                                                      
101.5120            28.9960            11.470      -13.530          2.300            1.800                0.0560                                                 Y277_GPS                                                                              
99.9380            26.6170            3.000      -14.790          2.000            2.000                0.2330                                                       Y295_GPS                                                                                          
99.6260            26.4210            1.590      -14.860          2.500            2.400                0.1450                                                       Y296_GPS                                                                                          
